Entreprise,Entreprise_Normalisee,Score_Max,Tier,Commune,Nb_Agents,Agents,Tel_Societe,Email_Societe,Tel_Societe_All,Email_Societe_All,Tel_Agents_IPI,Email_Agents_IPI,Tel_Agents_Existants,Email_Agents_Existants,Site_Web,Google_Business,Google_Note,Google_Nb_Avis,Services,Gestion_Locative,Syndic,Vente,Location,Commercial,Logiciel_Actuel,Immoweb_Annonces_Total,Immoweb_Location,Immoweb_Vente,Portfolio_Estime,BCE_Numero,BCE_Forme_Juridique,BCE_Date_Creation,Pain_Points,Angle_SPIN
Co Immo Grimbergen,CO IMMO GRIMBERGEN,50,B,Wemmel,1,Kristel Van Belle,+32474293793,info.glabbeek@co-immo.be,+32474293793 | +32491253178 | +32496388488 | +3247429379,info.glabbeek@co-immo.be | info.steenokkerzeel@co-immo.be | kris@co-immo.be | info@co-immo.be,+32476697354,kristel@co-immo.be,,kristel@co-immo.be,https://www.co-immo.be,https://www.google.com/maps/search/Co%20Immo%20Grimbergen%20Wemmel,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immo Wemmel,IMMO WEMMEL,50,B,Wemmel,1,Kirsten Van Humbeeck,+3224600224,info@immo-wemmel.be,+3224600224 | +32481970760,info@immo-wemmel.be,+3224600224,info@immo-wemmel.be,,info@immo-wemmel.be,https://www.immo-wemmel.be,https://www.google.com/maps/search/Immo%20Wemmel%20Wemmel,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
PANORAMA B2B Bedrijfsvastgoed,PANORAMA B2B BEDRIJFSVASTGOED,50,B,Zellik,1,Michiel Troch,+3250300700,,+3250300700 | +3256222256 | +3292250909 | +3225402020 | +3232250303,,+3225402061,michiel.troch@panorama.immo,,michiel.troch@panorama.immo,https://panorama.immo/nl/bedrijfsvastgoed/home/,https://www.google.com/maps/search/PANORAMA%20B2B%20Bedrijfsvastgoed%20Zellik,,,Location,Non,Non,Non,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immobexp,IMMOBEXP,50,B,Grimbergen,1,Fabienne Bosman,+3248500524,info@immobexp.be,+3248500524,info@immobexp.be,+3226570007,fabienne@immobexp.com,,fabienne@immobexp.com,https://www.immobexp.com,https://www.google.com/maps/search/Immobexp%20Grimbergen,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
ELLIPSIS IMMO,ELLIPSIS IMMO,50,B,Beersel,1,Michèle Franckx,+3264142509,info@ellipsisimmo.be,+3264142509,info@ellipsisimmo.be | 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com | dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com | c183baa23371454f99f417f6616b724d@sentry.wixpress.com | 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com | thierry@ellipsisimmo.be | michele@ellipsisimmo.be,,,,michele@ellipsisimmo.be,https://www.ellipsisimmo.be,https://www.google.com/maps/search/ELLIPSIS%20IMMO%20Beersel,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immo PICKE BV BVBA,IMMO PICKE,50,B,Sint-Pieters-Leeuw,2,Pieter Pické | Jonathan Willen,+3223316269,uniek-in-de-streek-150eccf6-1@2x.jpg,+3223316269,uniek-in-de-streek-150eccf6-1@2x.jpg | uniek-in-de-streek-8ce00571-1@2x.jpg | uniek-in-de-streek-e6b6f35a-1@2x.jpg | kom-op-tegen-kanker-e8753480-1@2x.jpg | info@immopicke.be | ecb48f1f9b5147d99de2968a4b74ff2c@o115483.ingest.sentry.io,+3223771007,info@immopicke.be,,info@immopicke.be,https://www.immopicke.be,https://www.google.com/maps/search/Immo%20PICKE%20BV%20BVBA%20Sint-Pieters-Leeuw,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Altro Vastgoedgroep,ALTRO VASTGOEDGROEP,50,B,,1,Johan Aerts,+3278353701,info@altro-vastgoed.be,+3278353701 | +3225053850,info@altro-vastgoed.be | info@biv.be,+3223044001,johan@altro-vastgoed.be,,johan@altro-vastgoed.be,https://altro-vastgoed.be/,https://www.google.com/maps/search/Altro%20Vastgoedgroep%20Bruxelles,,,"Location, Commercial",Non,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Pareto Consult,PARETO CONSULT,50,B,Zaventem,1,Corentin Minne,+32464523105,,+32464523105 | +3222012667,,+3222012667,corentin.minne@pareto.be,,corentin.minne@pareto.be,https://pareto.be/fr/pareto-consult/,https://www.google.com/maps/search/Pareto%20Consult%20Zaventem,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IMMO IDS,IMMO IDS,50,B,Sint-Genesius-Rode,1,Natacha Michiels,+3223599090,info@immo-ids.be,+3223599090 | +3223586939,info@immo-ids.be,+3223599090,natacha.michiels@immo-ids.be,,natacha.michiels@immo-ids.be,https://www.immo-ids.be,https://www.google.com/maps/search/IMMO%20IDS%20Sint-Genesius-Rode,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
ERA Leus Vastgoed,ERA LEUS VASTGOED,50,B,Zaventem,1,Ann De Ryck,+3274947969,,+3274947969 | +3270110447 | +32451983644,,+3227252002,leus@era.be,,leus@era.be,https://www.era.be,https://www.google.com/maps/search/ERA%20Leus%20Vastgoed%20Zaventem,,,Location,Non,Non,Non,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
COLORCASA,COLORCASA,50,B,Wolvertem,1,Isabelle Van Den Brande,+3222703702,immo@colorcasa.be,+3222703702,immo@colorcasa.be,+3222703702,immo@colorcasa.be,,immo@colorcasa.be,https://www.colorcasa.be,https://www.google.com/maps/search/COLORCASA%20Wolvertem,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Victoire-Junot Properties,VICTOIREJUNOT PROPERTIES,49,B,Woluwe-Saint-Pierre,1,Sally Mousset,+3223751010,,+3223751010 | +3223751020 | +3223751000,,+3223751010,,,,https://www.victoire.be/fr/,https://www.google.com/maps/search/Victoire-Junot%20Properties%20Woluwe-Saint-Pierre,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
E-MMO,EMMO,48,B,Bruxelles,1,Angélique Liakos,+3248613925,info@e-mmo.be,+3248613925 | +3248619259 | +3272604939,info@e-mmo.be | 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com | dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com | c183baa23371454f99f417f6616b724d@sentry.wixpress.com | 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com | 8c4075d5481d476e945486754f783364@sentry.io | 1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com | 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com | 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com | 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com | 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com,,,+32486139259,info@e-mmo.be,https://www.e-mmo.be,https://www.google.com/maps/search/E-MMO%20Bruxelles,,,"Vente, Location",Non,Non,Oui,Oui,Non,immoweb,,,,,,,,,immoweb couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
FREDERIC MASIL,FREDERIC MASIL,48,B,Bruxelles,1,Fréderic Masil,,,,,,,,f.masil@urbanliving.brussels,https://www.urbanliving.brussels/,https://www.google.com/maps/search/FREDERIC%20MASIL%20Bruxelles,,,Location,Non,Non,Non,Oui,Non,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Notimmo,NOTIMMO,48,B,Bruxelles,1,Colin Marique,+3257759423,info@notimmo.be,+3257759423,info@notimmo.be | logo@2x.2982c15a.png | behar_maison_-28%20-%20copie@2x.6433411f.webp | behar_maison_-28%20-%20copie@2x.6433411f.jpg | a461f2c640874274ac526be30bbececc@2x.0ccb2e30.webp | a461f2c640874274ac526be30bbececc@2x.0ccb2e30.jpg | eb0e51ca1dfe45d09e1415c055b5821c@2x.2319bc53.webp | eb0e51ca1dfe45d09e1415c055b5821c@2x.2319bc53.jpg | 0b63d07c6d274f729d3c71c0cf17362f@2x.6b85dc66.webp | 0b63d07c6d274f729d3c71c0cf17362f@2x.6b85dc66.jpg | img_1111_2_3_r%c3%a9v%c3%a9lateur%20-%20copie@2x.f5aed550.webp | img_1111_2_3_r%c3%a9v%c3%a9lateur%20-%20copie@2x.f5aed550.jpg | fa%c3%a7ade%20abeiche_1@2x.3778cc39.webp | fa%c3%a7ade%20abeiche_1@2x.3778cc39.jpg | 05528161268f45adb64ae1f5be8d27ba@2x.48b6ba8b.webp | 05528161268f45adb64ae1f5be8d27ba@2x.48b6ba8b.jpg | fa%c3%a7ade%20nivelles_1@2x.6782a1fd.webp | fa%c3%a7ade%20nivelles_1@2x.6782a1fd.jpg | fa%c3%a7ade%20taille@2x.2cebbd5f.webp | fa%c3%a7ade%20taille@2x.2cebbd5f.jpg,,cm@notimmo.be,,cm@notimmo.be,https://www.notimmo.be,https://www.google.com/maps/search/Notimmo%20Bruxelles,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Bouygues Immobilier Belgium,BOUYGUES IMMOBILIER BELGIUM,48,B,Bruxelles,1,Jérémy Henderson,+3226792020,,+3226792020,,,,,j.henderson@ext.bouygues-immobilier.com,https://www.bouygues-immobilier.be,https://www.google.com/maps/search/Bouygues%20Immobilier%20Belgium%20Bruxelles,,,Vente,Non,Non,Oui,Non,Non,hubspot,,,,,,,,,hubspot couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
LE PAVILLON DE L'IMMOBILIER,LE PAVILLON DE LIMMOBILIER,48,B,Evere,1,Najib Semlali,+3244614118,info@pavimmo.be,+3244614118 | +32900098808,info@pavimmo.be | younes@badagency.be,+32484829202,npavillon@yahoo.com,+32484829202,npavillon@yahoo.com,https://www.pavimmo.be,https://www.google.com/maps/search/LE%20PAVILLON%20DE%20L'IMMOBILIER%20Evere,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,bricks; hubspot; salesforce,,,,,,,,,bricks couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
CGIS sprl,CGIS,48,B,Saint-Gilles,1,Sylvie Rubinstein,+32475787799,,+32475787799,,+32475787799,info@cgis.be,,info@cgis.be,https://www.cgis.be,https://www.google.com/maps/search/CGIS%20sprl%20Saint-Gilles,,,"Vente, Location",Non,Non,Oui,Oui,Non,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
C.G.I.S Immobilière srl,CGIS IMMOBILIRE,48,B,Saint-Gilles,1,Géraldine Ramaekers,+32475787799,,+32475787799,,,,,geraldine@cgis.be,https://www.cgis.be,https://www.google.com/maps/search/C.G.I.S%20Immobili%C3%A8re%20srl%20Saint-Gilles,,,"Vente, Location",Non,Non,Oui,Oui,Non,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Prisme,PRISME,48,B,Ixelles,1,Guillaume Dumonceau,+3229239029,info@prismedvpt.com,+3229239029,info@prismedvpt.com | info@prismedpvt.com,+32483534308,c.marbaque@prismedvpt.com,,c.marbaque@prismedvpt.com,https://prismedvpt.com/,https://www.google.com/maps/search/Prisme%20Ixelles,,,"Gestion locative, Location",Oui,Non,Non,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
TRIBEL (Transactions Immobilières de Belgique),TRIBEL TRANSACTIONS IMMOBILIRES DE BELGIQUE,48,B,Ixelles,1,Grégory Geldfeld,+32464719377,sales@tribel-immo.be,+32464719377,sales@tribel-immo.be | rent@tribel-immo.be | info@tribel-immo.be,,,,info@tribel-immo.be,https://www.tribel-immo.be,https://www.google.com/maps/search/TRIBEL%20(Transactions%20Immobili%C3%A8res%20de%20Belgique)%20Ixelles,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Belgium Sotheby's International Realty,BELGIUM SOTHEBYS INTERNATIONAL REALTY,48,B,Elsene,1,Philippe Dijkmans,+3226400801,brussels@sothebysrealty.be,+3226400801 | +3236473072 | +3292965777 | +3228980940 | +3222291090,brussels@sothebysrealty.be | antwerp@sothebysrealty.be | latem@sothebysrealty.be | brabant@sothebysrealty.be | manors@sothebysrealty.be | new@sothebysrealty.be,+3222291090,dp@sothebysrealty.be,,dp@sothebysrealty.be,https://www.sothebysrealty.be,https://www.google.com/maps/search/Belgium%20Sotheby's%20International%20Realty%20Elsene,,,,Non,Non,Non,Non,Non,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
SOTHEBY'S International Realty - Belgium,SOTHEBYS INTERNATIONAL REALTY BELGIUM,48,B,Ixelles,1,Véronique Mille,+3226400801,brussels@sothebysrealty.be,+3226400801 | +3236473072 | +3292965777 | +3228980940 | +3222291090,brussels@sothebysrealty.be | antwerp@sothebysrealty.be | latem@sothebysrealty.be | brabant@sothebysrealty.be | manors@sothebysrealty.be | new@sothebysrealty.be,,,,vm@sothebysrealty.be,https://www.sothebysrealty.be,https://www.google.com/maps/search/SOTHEBY'S%20International%20Realty%20-%20Belgium%20Ixelles,,,,Non,Non,Non,Non,Non,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
MODIFA BRUSSELS,MODIFA BRUSSELS,48,B,Saint-Gilles,1,Gaëtan Dierckx de Casterlé,+3223582701,info@modifa.be,+3223582701 | +3226446110 | +32474225415 | +32450158588 | +3225053850,info@modifa.be | afalisse@modifa.be | xl@modifa.be | grez@modifa.be | info@ipi.be,,,,gdc@modifa.be,https://www.modifa.be,https://www.google.com/maps/search/MODIFA%20BRUSSELS%20Saint-Gilles,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Eden Consult,EDEN CONSULT,48,B,Ixelles,1,Bertrand Speeckaert,+3226471400,info@youreden.be,+3226471400 | +3225053850,info@youreden.be | info@biv.be,+3226471400,info@youreden.be,,info@youreden.be,https://www.youreden.be,https://www.google.com/maps/search/Eden%20Consult%20Ixelles,,,"Vente, Location",Non,Non,Oui,Oui,Non,zimmo,,,,,,,,,zimmo couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Delogne & Partners,DELOGNE ET PARTNERS,48,B,Forest,1,Jean-Claude Delogne,,info@delogne-partners.be,,info@delogne-partners.be | jc@delogne-partners.be,+32475432147,info@delogne-partners.be,,info@delogne-partners.be,https://www.delogne-partners.be,https://www.google.com/maps/search/Delogne%20%26%20Partners%20Forest,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Immobilière Le Belier,IMMOBILIRE LE BELIER,48,B,Ixelles,1,Michèle Delbar,+3223744202,francesca.delbar@skynet.be,+3223744202 | +3268722367,francesca.delbar@skynet.be,,,,francesca.delbar@skynet.be,https://www.lebelier.be/,https://www.google.com/maps/search/Immobili%C3%A8re%20%22Le%20Belier%22%20Ixelles,,,"Vente, Location",Non,Non,Oui,Oui,Non,immoweb,,,,,,,,,immoweb couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Eventimmo,EVENTIMMO,48,B,Schaerbeek,1,Grégoire Verbeek,,,,,,,,info@eventimmo.be,https://www.eventimmo.be,https://www.google.com/maps/search/Eventimmo%20Schaerbeek,,,Location,Non,Non,Non,Oui,Non,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Doms-de Looz,DOMSDE LOOZ,48,B,Ukkel,1,Stefanie Doms,+32479212045,info@domsdelooz.be,+32479212045 | +32471193455 | +3247119345 | +3247921204,info@domsdelooz.be | votre@email.com,+32479212045,stefanie@domsdelooz.be,+32479212045,stefanie@domsdelooz.be,https://www.domsdelooz.be,https://www.google.com/maps/search/Doms-de%20Looz%20Ukkel,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,immoweb,,,,,,,,,immoweb couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
JS PROPERTIES,JS PROPERTIES,48,B,Schaerbeek,1,Sami Vardar,+3225380258,info@jsproperties.be,+3225380258,info@jsproperties.be,+3225380258,info@jsproperties.be,,info@jsproperties.be,https://www.jsproperties.be,https://www.google.com/maps/search/JS%20PROPERTIES%20Schaerbeek,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
james realty Countryside,JAMES REALTY COUNTRYSIDE,48,B,Ixelles,1,Laurence Lob,+3226565421,,+3226565421,,+3226331818,laurence@james-realty.com,,laurence@james-realty.com,https://www.james-realty.com,https://www.google.com/maps/search/james%20realty%20Countryside%20Ixelles,,,"Vente, Location",Non,Non,Oui,Oui,Non,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Huntrz.immo,HUNTRZIMMO,48,B,Ixelles,1,David Grignon,,contact@huntrz.immo,,contact@huntrz.immo | contact@example.com,+32485380079,david@huntrz.immo,+32485380079,david@huntrz.immo,https://www.huntrz.immo,https://www.google.com/maps/search/Huntrz.immo%20Ixelles,,,"Vente, Location",Non,Non,Oui,Oui,Non,zimmo,,,,,,,,,zimmo couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Valor Event sprl - Agence Esser.immo,VALOR EVENT AGENCE ESSERIMMO,48,B,Ixelles,1,Antoneta Palaghioi,+3248624344,gaby.farkas@esser.immo,+3248624344 | +3225053850,gaby.farkas@esser.immo | info@ipi.be,,daniela@esser.immo,,daniela@esser.immo,https://www.esser.immo,https://www.google.com/maps/search/Valor%20Event%20sprl%20-%20Agence%20Esser.immo%20Ixelles,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Esser.immo,ESSERIMMO,48,B,Ixelles,1,Gabriel Farkas,+3248624344,gaby.farkas@esser.immo,+3248624344 | +3225053850,gaby.farkas@esser.immo | info@ipi.be,+32486243448,gaby@valor-event.eu,+32486243448,gaby@valor-event.eu,http://esser.immo,https://www.google.com/maps/search/Esser.immo%20Ixelles,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
SOBELLE,SOBELLE,48,B,Uccle,1,Olivier Solanet,+3223449757,info@sobelle.com,+3223449757,info@sobelle.com,+3223449757,info@sobelle.com,,info@sobelle.com,https://www.sobelle.com,https://www.google.com/maps/search/SOBELLE%20Uccle,,,Location,Non,Non,Non,Oui,Non,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
BUREAU IMMOBILIER BELGE - BIB,BUREAU IMMOBILIER BELGE BIB,48,B,Auderghem,1,Hassan Heydari,+3227354088,contact@bibelge.be,+3227354088,contact@bibelge.be,+3227354088,bibelge@outlook.com,,bibelge@outlook.com,https://www.bibelge.be,https://www.google.com/maps/search/BUREAU%20IMMOBILIER%20BELGE%20-%20BIB%20Auderghem,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
CLC Immo,CLC IMMO,48,B,Uccle,2,Catherine Jahn | Tanguy Langenaeken,,info@clcimmo.be,,info@clcimmo.be,+3226332648,info@clcimmo.be,,info@clcimmo.be,https://www.clcimmo.be,https://www.google.com/maps/search/CLC%20Immo%20Uccle,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Vatrimex b.v. (Pakkan International b.v.b.a.),VATRIMEX BV PAKKAN INTERNATIONAL BVBA,48,B,Ganshoren,1,Paul Vanden Bulcke,+3222562866,info@immovatrimex.be,+3222562866 | +3225053850 | +3247189292 | +32466155532 | +32468113922,info@immovatrimex.be | info@biv.be | naam@voorbeeld.be,+3222562866,info@immovatrimex.be,,info@immovatrimex.be,https://www.immovatrimex.be,https://www.google.com/maps/search/Vatrimex%20b.v.%20(Pakkan%20International%20b.v.b.a.)%20Ganshoren,,,"Location, Commercial",Non,Non,Non,Oui,Oui,zimmo,,,,,,,,,zimmo couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Realty Belgium,REALTY BELGIUM,48,B,Uccle,1,Nicolas Dehaspe,+3228998877,info@realtybelgium.be,+3228998877,info@realtybelgium.be,+3228998877,nicolas@realtybelgium.be,,nicolas@realtybelgium.be,https://www.realtybelgium.be,https://www.google.com/maps/search/Realty%20Belgium%20Uccle,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Immo BPC,IMMO BPC,48,B,Ganshoren,1,Jos Vrancaert,+3224200028,info@immobpc.be,+3224200028,info@immobpc.be | jos@immobpc.be | eh@immobpc.be,+3224200028,info@immobpc.be,,info@immobpc.be,https://www.immobpc.be,https://www.google.com/maps/search/Immo%20BPC%20Ganshoren,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
LAROCK IMMO,LAROCK IMMO,48,B,Ganshoren,1,David Larock,+3247680187,info@larockimmo.be,+3247680187,info@larockimmo.be,+32476801874,david.larock@larockimmo.be,,david.larock@larockimmo.be,https://www.larockimmo.be,https://www.google.com/maps/search/LAROCK%20IMMO%20Ganshoren,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
